#FamilyID	pvalue	Significant at 0.05
OG0000000	0	y
OG0000001	0	y
OG0000002	0	y
OG0000003	0	y
OG0000004	0	y
OG0000006	0	y
OG0000007	0	y
OG0000014	0	y
OG0000017	0	y
OG0000022	0.002	y
OG0000025	0	y
OG0000026	0	y
OG0000027	0.003	y
OG0000030	0	y
OG0000032	0	y
OG0000033	0.003	y
OG0000034	0	y
OG0000041	0	y
OG0000042	0	y
OG0000044	0	y
OG0000045	0	y
OG0000048	0	y
OG0000052	0	y
OG0000053	0	y
OG0000058	0	y
OG0000059	0	y
OG0000063	0	y
OG0000064	0	y
OG0000065	0	y
OG0000066	0	y
OG0000068	0	y
OG0000069	0.001	y
OG0000070	0.001	y
OG0000071	0	y
OG0000074	0	y
OG0000076	0	y
OG0000077	0.001	y
OG0000078	0	y
OG0000079	0	y
OG0000080	0.001	y
OG0000081	0	y
OG0000082	0	y
OG0000083	0	y
OG0000084	0	y
OG0000085	0	y
OG0000086	0.001	y
OG0000092	0	y
OG0000094	0.003	y
OG0000095	0.002	y
OG0000096	0	y
OG0000097	0	y
OG0000100	0.001	y
OG0000101	0	y
OG0000104	0.001	y
OG0000106	0	y
OG0000109	0.001	y
OG0000110	0.007	y
OG0000111	0	y
OG0000112	0	y
OG0000117	0	y
OG0000118	0	y
OG0000119	0	y
OG0000120	0.023	y
OG0000122	0	y
OG0000124	0	y
OG0000131	0	y
OG0000135	0.005	y
OG0000136	0	y
OG0000139	0	y
OG0000141	0	y
OG0000143	0	y
OG0000144	0.001	y
OG0000147	0	y
OG0000148	0	y
OG0000149	0	y
OG0000150	0	y
OG0000152	0	y
OG0000153	0.021	y
OG0000154	0.003	y
OG0000155	0.001	y
OG0000161	0	y
OG0000164	0	y
OG0000168	0.008	y
OG0000169	0	y
OG0000170	0.007	y
OG0000171	0.005	y
OG0000173	0	y
OG0000174	0	y
OG0000175	0	y
OG0000176	0	y
OG0000177	0	y
OG0000181	0	y
OG0000190	0	y
OG0000191	0	y
OG0000194	0	y
OG0000195	0	y
OG0000196	0	y
OG0000197	0	y
OG0000200	0	y
OG0000204	0	y
OG0000206	0	y
OG0000215	0	y
OG0000216	0.001	y
OG0000217	0.005	y
OG0000221	0.024	y
OG0000222	0	y
OG0000225	0.005	y
OG0000226	0	y
OG0000227	0.035	y
OG0000229	0	y
OG0000231	0	y
OG0000232	0.001	y
OG0000235	0.003	y
OG0000238	0.001	y
OG0000241	0	y
OG0000242	0.002	y
OG0000243	0.031	y
OG0000252	0	y
OG0000255	0.027	y
OG0000257	0	y
OG0000258	0.044	y
OG0000262	0.007	y
OG0000263	0	y
OG0000266	0.005	y
OG0000268	0.003	y
OG0000269	0	y
OG0000270	0.005	y
OG0000272	0	y
OG0000285	0.011	y
OG0000296	0.01	y
OG0000298	0.002	y
OG0000299	0	y
OG0000300	0.005	y
OG0000305	0.01	y
OG0000306	0.005	y
OG0000308	0.03	y
OG0000309	0.021	y
OG0000311	0.026	y
OG0000313	0	y
OG0000317	0.019	y
OG0000319	0	y
OG0000320	0.038	y
OG0000321	0.007	y
OG0000322	0.033	y
OG0000323	0.008	y
OG0000331	0.001	y
OG0000332	0.005	y
OG0000333	0	y
OG0000335	0	y
OG0000336	0	y
OG0000339	0	y
OG0000341	0	y
OG0000342	0	y
OG0000344	0.003	y
OG0000347	0.007	y
OG0000349	0.001	y
OG0000351	0.005	y
OG0000352	0.006	y
OG0000355	0.048	y
OG0000359	0	y
OG0000360	0	y
OG0000361	0.001	y
OG0000363	0	y
OG0000365	0.032	y
OG0000372	0.005	y
OG0000378	0	y
OG0000379	0	y
OG0000382	0.004	y
OG0000384	0	y
OG0000385	0	y
OG0000388	0.007	y
OG0000392	0.007	y
OG0000394	0.008	y
OG0000398	0	y
OG0000401	0	y
OG0000402	0.005	y
OG0000403	0	y
OG0000406	0	y
OG0000407	0.004	y
OG0000414	0.014	y
OG0000418	0	y
OG0000422	0.005	y
OG0000433	0.013	y
OG0000435	0.008	y
OG0000436	0.024	y
OG0000440	0.013	y
OG0000442	0.011	y
OG0000445	0.004	y
OG0000452	0.011	y
OG0000455	0.013	y
OG0000456	0.014	y
OG0000457	0.031	y
OG0000473	0.013	y
OG0000485	0	y
OG0000493	0.024	y
OG0000494	0	y
OG0000498	0.011	y
OG0000499	0.005	y
OG0000501	0.011	y
OG0000503	0.007	y
OG0000504	0.013	y
OG0000506	0	y
OG0000510	0.021	y
OG0000512	0.008	y
OG0000518	0	y
OG0000522	0.014	y
OG0000523	0.008	y
OG0000524	0.013	y
OG0000525	0	y
OG0000542	0.028	y
OG0000550	0.045	y
OG0000553	0.049	y
OG0000558	0	y
OG0000560	0.007	y
OG0000562	0	y
OG0000565	0.049	y
OG0000566	0.045	y
OG0000569	0.037	y
OG0000572	0.049	y
OG0000577	0.049	y
OG0000578	0	y
OG0000579	0.049	y
OG0000583	0	y
OG0000587	0.049	y
OG0000588	0.008	y
OG0000592	0.017	y
OG0000595	0.049	y
OG0000601	0.02	y
OG0000607	0.049	y
OG0000610	0	y
OG0000613	0	y
OG0000615	0.028	y
OG0000617	0.008	y
