GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0007163	establishment or maintenance of cell pol...	81	13	1.67	4.0e-09
GO:0048477	oogenesis	230	19	4.75	5.7e-08
GO:0002064	epithelial cell development	127	14	2.62	1.4e-07
GO:0007292	female gamete generation	243	19	5.02	1.4e-07
GO:0008103	oocyte microtubule cytoskeleton polariza...	9	5	0.19	3.7e-07
GO:0030855	epithelial cell differentiation	142	14	2.93	5.6e-07
GO:0051716	cellular response to stimulus	659	31	13.61	5.8e-07
GO:0065008	regulation of biological quality	414	24	8.55	5.9e-07
GO:0007281	germ cell development	268	19	5.54	6.8e-07
GO:0060429	epithelium development	356	22	7.35	7.2e-07
GO:0044087	regulation of cellular component biogene...	125	13	2.58	8.3e-07
GO:0002066	columnar/cuboidal epithelial cell develo...	112	12	2.31	1.7e-06
GO:0030707	ovarian follicle cell development	112	12	2.31	1.7e-06
GO:0051128	regulation of cellular component organiz...	286	19	5.91	1.9e-06
GO:0016325	oocyte microtubule cytoskeleton organiza...	12	5	0.25	2.2e-06
GO:0050807	regulation of synapse organization	60	9	1.24	2.4e-06
GO:0009888	tissue development	381	22	7.87	2.4e-06
GO:0002065	columnar/cuboidal epithelial cell differ...	117	12	2.42	2.7e-06
GO:0050794	regulation of cellular process	1097	40	22.66	3.1e-06
GO:0003006	developmental process involved in reprod...	298	19	6.16	3.5e-06
GO:0030951	establishment or maintenance of microtub...	13	5	0.27	3.6e-06
GO:0050803	regulation of synapse structure or activ...	63	9	1.3	3.6e-06
GO:0007154	cell communication	598	28	12.35	3.6e-06
GO:0008582	regulation of synaptic growth at neuromu...	49	8	1.01	4.7e-06
GO:1904396	regulation of neuromuscular junction dev...	50	8	1.03	5.5e-06
GO:0050808	synapse organization	105	11	2.17	6.2e-06
GO:0051963	regulation of synapse assembly	51	8	1.05	6.5e-06
GO:0007416	synapse assembly	68	9	1.4	6.9e-06
GO:0022412	cellular process involved in reproductio...	313	19	6.47	7.4e-06
GO:0023052	signaling	582	27	12.02	7.5e-06
GO:0022607	cellular component assembly	443	23	9.15	8.2e-06
GO:0044089	positive regulation of cellular componen...	55	8	1.14	1.2e-05
GO:0030952	establishment or maintenance of cytoskel...	16	5	0.33	1.2e-05
GO:0065007	biological regulation	1348	44	27.84	1.2e-05
GO:0007010	cytoskeleton organization	209	15	4.32	1.2e-05
GO:0050896	response to stimulus	880	34	18.18	1.3e-05
GO:0040008	regulation of growth	114	11	2.35	1.4e-05
GO:0050789	regulation of biological process	1204	41	24.87	1.4e-05
GO:0060491	regulation of cell projection assembly	17	5	0.35	1.6e-05
GO:0120032	regulation of plasma membrane bounded ce...	17	5	0.35	1.6e-05
GO:0007276	gamete generation	330	19	6.82	1.6e-05
GO:0010591	regulation of lamellipodium assembly	9	4	0.19	1.9e-05
